,aa_000,ag_001,ag_002,ag_003,ag_004,ag_005,ah_000,ai_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,ay_001,ay_002,ay_003,ay_004,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_005,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bt_000,bu_000,bv_000,bx_000,by_000,cc_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_007,cn_008,cn_009,cq_000,cs_001,cs_002,cs_003,cs_004,cs_005,cx_000,dd_000,df_000,dn_000,dq_000,eb_000,ec_00,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007
9,0.7486033519553073,0.0,0.0,0.014084507042253516,0.24503311258278146,0.07647058823529412,0.4395604395604396,0.08208955223880597,0.04964539007092199,0.04964539007092199,0.4918032786885246,0.44808743169398907,0.38095238095238093,0.6569767441860466,0.3214285714285714,0.0,0.0,0.0,0.0,0.01807228915662651,0.19254658385093165,0.0,0.007092198581560294,0.0,0.0,0.11242603550295857,0.13793103448275862,0.05714285714285716,0.04093567251461988,0.04022988505747127,0.02857142857142858,0.022988505747126436,0.023668639053254448,0.0,0.0,0.4666666666666667,0.14285714285714285,0.019736842105263136,0.1496598639455782,0.4097222222222222,0.44505494505494514,0.6000000000000001,0.17751479289940827,0.5214723926380368,0.7486033519553073,0.4666666666666667,0.4666666666666667,0.07303370786516852,0.027932960893854775,0.5056179775280898,1.0,1.0,1.0,0.0,0.006451612903225795,0.0,0.0,0.0273972602739726,0.04430379746835442,0.09090909090909094,0.08163265306122447,0.007142857142857145,0.0,0.4666666666666667,0.018518518518518517,0.006578947368421045,0.25595238095238093,0.04545454545454544,0.050561797752808973,0.025316455696202528,1.0,0.0,0.391812865497076,0.0,0.0,0.0,0.16265060240963855,0.09036144578313252,0.07954545454545456,0.034090909090909116,0.022727272727272763,0.01744186046511631,0.023952095808383228,0.0
23,1.0,0.0,0.0,0.3802816901408451,1.0,1.0,1.0,0.11194029850746268,0.19858156028368795,0.21985815602836878,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.35460992907801414,0.8680555555555556,0.4160583941605839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1893491124260355,0.00684931506849315,0.0,1.0,0.12925170068027209,0.26973684210526316,0.18367346938775508,0.9583333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3191489361702128,1.0,0.0,0.08695652173913045,0.42465753424657526,1.0,1.0,0.12244897959183672,0.03571428571428572,0.0,1.0,0.9259259259259258,0.9934210526315789,1.0,0.6038961038961039,1.0,1.0,1.0,0.0,1.0,0.664179104477612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8263473053892216,0.256578947368421
60,0.35195530726256985,0.007633587786259541,1.0,1.0,1.0,1.0,0.5054945054945056,0.022388059701492536,0.3191489361702128,0.375886524822695,0.48633879781420764,0.45901639344262296,0.6011904761904762,0.6453488372093024,0.0,0.0,0.0,0.0,0.0,1.0,0.5093167701863354,0.0,0.10638297872340426,0.1875,0.1386861313868613,1.0,1.0,0.7428571428571429,0.49122807017543857,0.3908045977011494,0.32571428571428573,0.22413793103448276,0.1301775147928994,0.2602739726027397,0.056737588652482275,0.5277777777777778,0.0748299319727891,0.032894736842105254,0.006802721088435354,0.0069444444444444475,0.5054945054945056,0.6971428571428572,0.3727810650887574,0.7361963190184049,0.3575418994413408,0.5277777777777778,0.5277777777777778,0.8089887640449438,0.46368715083798884,0.8539325842696628,0.4722222222222222,0.0,1.0,0.028368794326241148,0.36129032258064514,0.4318181818181818,1.0,0.9999999999999999,1.0,0.5340909090909092,0.006802721088435354,0.0,0.0,0.5277777777777778,0.31481481481481477,1.0,1.0,1.0,0.32584269662921345,0.056962025316455694,1.0,0.0,0.7076023391812865,0.0,0.025316455696202528,0.446927374301676,1.0,0.6445783132530121,0.8977272727272728,0.4943181818181819,0.3295454545454546,0.23837209302325585,0.23952095808383234,0.13157894736842105
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.19379844961240308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9585798816568047,0.4383561643835616,0.04255319148936171,1.0,0.6598639455782314,1.0,0.15646258503401358,0.2777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.06802721088435373,0.007142857142857145,0.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.09701492537313433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
135,1.0,0.0,0.0,0.0704225352112676,0.42384105960264906,0.5529411764705883,1.0,0.9029850746268657,0.4184397163120568,0.5177304964539007,1.0,1.0,1.0,1.0,0.4857142857142857,1.0,1.0,0.816793893129771,0.366412213740458,0.3855421686746988,0.07453416149068323,0.0,0.0921985815602837,0.11805555555555555,0.0656934306569343,0.14792899408284022,0.632183908045977,0.37142857142857144,0.3508771929824561,0.40804597701149425,0.52,0.5229885057471264,0.2781065088757396,0.00684931506849315,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46067415730337075,0.4134078212290503,0.4887640449438202,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.06164383561643835,0.4050632911392405,0.7840909090909092,0.0476190476190476,0.01428571428571429,0.0,1.0,0.9999999999999999,0.5592105263157895,0.3333333333333333,0.9805194805194806,0.33707865168539325,0.03164556962025317,1.0,0.0,1.0,0.00746268656716418,0.0,0.0,0.3433734939759036,0.9397590361445783,0.875,0.6590909090909092,0.2272727272727273,0.023255813953488386,0.0059880239520958,0.0
156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.0,0.0,0.0,0.0,1.0,0.8819875776397514,0.0,0.46099290780141844,0.4305555555555556,0.1897810218978102,1.0,0.9597701149425288,0.7085714285714286,1.0,1.0,1.0,1.0,0.834319526627219,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.027777777777777776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.14893617021276595,1.0,1.0,0.8405797101449276,0.6506849315068493,0.6708860759493671,0.6420454545454546,1.0,1.0,1.0,1.0,0.8950617283950616,0.4473684210526315,0.43452380952380953,0.2207792207792208,1.0,0.5949367088607596,1.0,0.0,1.0,1.0,1.0,1.0,0.45180722891566266,0.5301204819277109,0.9090909090909092,0.9488636363636365,1.0,1.0,1.0,1.0
177,1.0,0.0,0.0,0.0,0.07284768211920531,0.27647058823529413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18072289156626506,0.21118012422360247,0.0,0.028368794326241148,0.034722222222222224,0.014598540145985398,0.10059171597633135,0.2471264367816092,0.09142857142857144,0.08771929824561403,0.08620689655172414,0.08000000000000002,0.06896551724137931,0.04733727810650887,0.10273972602739725,0.6028368794326241,1.0,0.03401360544217685,0.032894736842105254,0.006802721088435354,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16292134831460672,0.13407821229050282,0.1685393258426966,1.0,0.8561151079136691,1.0,0.007092198581560294,0.11612903225806451,0.0,0.0,0.0,0.12025316455696201,0.1931818181818182,0.38095238095238093,0.2642857142857143,0.04580152671755725,1.0,0.08024691358024691,0.28289473684210525,0.2738095238095238,0.05194805194805194,0.10674157303370785,0.025316455696202528,0.1893491124260355,0.0,1.0,0.03731343283582089,0.0,0.1229050279329609,0.24096385542168675,0.12048192771084337,0.1647727272727273,0.15340909090909094,0.11363636363636367,0.07558139534883723,0.08383233532934131,0.12499999999999999
210,1.0,0.42748091603053434,1.0,1.0,1.0,1.0,1.0,0.06716417910447761,1.0,1.0,1.0,1.0,1.0,1.0,0.6428571428571428,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.4081632653061224,0.8355263157894737,0.09523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11363636363636365,1.0,0.9999999999999999,1.0,1.0,1.0,0.18571428571428572,0.0,1.0,0.9999999999999999,1.0,1.0,0.8181818181818182,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
251,1.0,0.0,0.0,0.0,0.013245033112582794,1.0,1.0,0.29850746268656714,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.022900763358778626,1.0,0.08695652173913043,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.363013698630137,0.0,1.0,0.12925170068027209,0.22368421052631576,0.2789115646258503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25949367088607594,1.0,1.0,0.8071428571428572,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.5759493670886076,1.0,0.0,1.0,0.40298507462686567,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
310,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08843537414965985,0.11842105263157893,0.11564625850340135,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6343283582089553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
